jurisdiction,distribution,initiate_1st,distribution_rate,initiate_1st_rate,distribution_LTCF,initiation_1st_LTCF
Alabama,124275,39446,2535,804,,
Alaska,68925,18401,9422,2515,,
Arizona,270250,59099,3713,812,,
Arkansas,124325,39235,4120,1300,,
California,1476425,412076,3737,1043,,
Colorado,246275,104622,4277,1817,,
Connecticut,112500,72729,3155,2040,,
Delaware,44925,11066,4614,1136,,
Georgia,445550,75157,4196,708,,
Idaho,71825,18535,4019,1037,,
Illinois,403750,170060,3186,1342,,
Indiana,316825,85752,4706,1274,,
Iowa,105550,53191,3345,1686,,
Kansas,114850,19636,3942,674,,
Kentucky,126900,59780,2840,1338,,
Maryland,208725,59890,3452,991,,
Massachusetts,287000,88076,4164,1278,,
Minnesota,211150,82476,3744,1462,,
Mississippi,83450,21150,2804,711,,
Missouri,218800,89565,3565,1459,,
Montana,46150,22928,4318,2145,,
Nebraska,79675,34066,4119,1761,,
Nevada,96950,32942,3148,1069,,
New Hampshire,45275,19461,3330,1431,,
New Mexico,89250,40186,4256,1917,,
New York,774075,236941,3979,1218,,
North Carolina,330125,94865,3148,905,,
North Dakota,33300,21171,4370,2778,,
Ohio,291100,152178,2490,1302,,
Oklahoma,180750,58823,4568,1487,,
Oregon,167100,44420,3962,1053,,
Pennsylvania,489850,155983,3826,1218,,
Rhode Island,49000,18829,4625,1777,,
South Carolina,141375,49192,2746,955,,
South Dakota,38225,26409,4321,2985,,
Tennessee,250175,125370,3663,1836,,
Texas,942825,337392,3252,1164,,
Utah,127375,44565,3973,1390,,
Vermont,30025,15478,4812,2480,,
Virginia,388100,90011,4547,1055,,
Washington,282950,82464,3716,1083,,
West Virginia,103375,49827,5768,2780,,
Wisconsin,159800,64657,2745,1110,,
Wyoming,26175,7556,4523,1306,,
Guam,19300,3791,11643,2287,,
American Samoa,8250,1022,14814,1835,,
Republic of Palau,2800,0,15636,0,,
Federated States of Micronesia,1600,10,1544,10,,
Northern Mariana Islands,6250,3027,10988,5322,,
Puerto Rico,154525,42795,4838,1340,,
Marshall Islands,1200,0,2054,0,,
Virgin Islands,4925,199,4705,190,,
Bureau of Prisons,10525,7307,0,0,,
Dept of Defense,231625,66719,0,0,,
Indian Health Svc,143800,35466,0,0,,
Veterans Health,465425,116374,0,0,,
Total,13071925,4225756,,,2217025,282740
