jurisdiction,distribution,initiate_1st,distribution_rate,initiate_1st_rate,distribution_LTCF,initiation_1st_LTCF
Alabama,245100,48888,4999,997,,
Alaska,87325,21830,11937,2984,,
Arizona,453275,88266,6227,1213,,
Arkansas,212700,40899,7048,1355,,
California,2314350,528173,5857,1337,,
Colorado,361375,130445,6275,2265,,
Connecticut,219125,100889,6146,2830,,
Delaware,64375,16677,6611,1713,,
District of Columbia,45950,19366,6511,2744,,
Florida,1355775,402802,6312,1875,,
Georgia,619250,103793,5832,978,,
Hawaii,95200,24558,6724,1734,,
Idaho,104925,22822,5871,1277,,
Illinois,737125,213045,5817,1681,,
Indiana,409625,123835,6085,1839,,
Iowa,191675,74224,6075,2353,,
Kansas,191225,36538,6564,1254,,
Kentucky,244350,94443,5469,2114,,
Louisiana,298825,64664,6428,1391,,
Maine,96475,37128,7177,2762,,
Maryland,371425,100049,6144,1655,,
Massachusetts,449025,137858,6515,2000,,
Michigan,662450,137887,6633,1381,,
Minnesota,378425,97098,6710,1722,,
Mississippi,159625,28356,5363,953,,
Missouri,401050,113369,6534,1847,,
Montana,69025,27693,6458,2591,,
Nebraska,132800,53548,6865,2768,,
Nevada,187375,39761,6083,1291,,
New Hampshire,77075,37369,5668,2748,,
New Jersey,572250,155458,6443,1750,,
New Mexico,133125,48306,6349,2304,,
New York,1134800,353788,5833,1819,,
North Carolina,647450,139474,6173,1330,,
North Dakota,43950,27289,5767,3581,,
Ohio,576250,175681,4930,1503,,
Oklahoma,264000,85978,6672,2173,,
Oregon,262100,61672,6214,1462,,
Pennsylvania,789250,202498,6165,1582,,
Rhode Island,72175,27696,6813,2614,,
South Carolina,225850,58044,4387,1127,,
South Dakota,59900,33389,6771,3774,,
Tennessee,454800,179811,6660,2633,,
Texas,1676925,545658,5783,1882,,
Utah,191075,62662,5960,1955,,
Vermont,48550,18740,7781,3003,,
Virginia,556625,136924,6521,1604,,
Washington,518550,121354,6810,1594,,
West Virginia,126275,74016,7046,4130,,
Wisconsin,322775,82170,5544,1411,,
Wyoming,40400,9324,6980,1611,,
Guam,19300,3791,11643,2287,,
American Samoa,8250,1161,14814,2085,,
Republic of Palau,2800,247,15636,1379,,
Federated States of Micronesia,9800,100,9456,96,,
Northern Mariana Islands,18650,3090,32787,5432,,
Puerto Rico,237650,51071,7441,1599,,
Marshall Islands,7200,0,12326,0,,
Virgin Islands,7775,318,7427,304,,
Bureau of Prisons,12800,11137,0,0,,
Dept of Defense,342625,82842,0,0,,
Indian Health Svc,182125,49960,0,0,,
Veterans Health,617450,149496,0,0,,
Total,21419800,5919418,,,3770425,603313
