jurisdiction,distribution,initiate_1st,distribution_rate,initiate_1st_rate,distribution_LTCF,initiation_1st_LTCF
Alabama,159325,39564,3249,807,,
Alaska,74925,18937,10242,2589,,
Arizona,411025,66059,5647,908,,
Arkansas,139400,40899,4619,1355,,
California,1866075,451702,4723,1143,,
Colorado,262275,112510,4554,1954,,
Connecticut,149900,75946,4204,2130,,
Delaware,50725,13913,5209,1429,,
District of Columbia,35475,15583,5027,2208,,
Georgia,483650,75157,4555,708,,
Idaho,71825,19126,4019,1070,,
Illinois,427150,176577,3371,1393,,
Indiana,334375,91168,4967,1354,,
Iowa,116275,55495,3685,1759,,
Kansas,131750,20110,4522,690,,
Kentucky,156600,60663,3505,1358,,
Maine,66250,31663,4929,2356,,
Maryland,274950,65718,4548,1087,,
Massachusetts,287000,110279,4164,1600,,
Minnesota,229675,83884,4073,1487,,
Mississippi,84250,21814,2831,733,,
Missouri,235375,91817,3835,1496,,
Montana,52450,23518,4907,2200,,
Nebraska,90675,35644,4687,1843,,
Nevada,141550,34454,4596,1119,,
New Hampshire,53675,21181,3948,1558,,
New Mexico,98625,41557,4704,1982,,
New York,895925,274713,4605,1412,,
North Carolina,395100,101351,3767,966,,
North Dakota,37900,22240,4973,2918,,
Ohio,359700,159869,3077,1368,,
Oklahoma,203550,60010,5144,1517,,
Oregon,202200,48733,4794,1155,,
Pennsylvania,592125,163207,4625,1275,,
Rhode Island,55600,22544,5248,2128,,
South Carolina,141375,54902,2746,1066,,
South Dakota,43325,26913,4897,3042,,
Tennessee,300250,152516,4397,2233,,
Texas,1004300,374238,3464,1291,,
Utah,144275,48909,4500,1526,,
Vermont,33925,15955,5437,2557,,
Virginia,468950,108861,5494,1275,,
Washington,389250,92700,5112,1217,,
West Virginia,124325,52518,6937,2930,,
Wisconsin,208075,66974,3574,1150,,
Wyoming,29675,7556,5127,1306,,
Guam,19300,3791,11643,2287,,
American Samoa,8250,1022,14814,1835,,
Republic of Palau,2800,60,15636,335,,
Federated States of Micronesia,1600,10,1544,10,,
Northern Mariana Islands,6250,3027,10988,5322,,
Puerto Rico,163300,44633,5113,1398,,
Marshall Islands,1200,0,2054,0,,
Virgin Islands,4925,199,4705,190,,
Bureau of Prisons,12800,7366,0,0,,
Dept of Defense,248200,67766,0,0,,
Indian Health Svc,159700,35753,0,0,,
Veterans Health,477125,117975,0,0,,
Total,15418500,4563260,,,2533925,365294
