jurisdiction,distribution,administration,initiation,completion,distribution_rate,administration_rate,initiation_rate,completion_rate
Alabama,435350,92300,80480,11699,8879,1882,1641,239
Alaska,150450,42596,35508,7013,20566,5823,4854,959
Arizona,570625,173665,157397,16234,7840,2386,2162,223
Arkansas,297800,108316,90339,16711,9868,3589,2994,554
California,3540175,975293,801998,170245,8960,2468,2030,431
Colorado,531775,254706,209300,44087,9234,4423,3634,766
Connecticut,328675,171897,156366,14052,9219,4821,4386,394
Delaware,91250,31090,25649,5354,9371,3193,2634,550
District of Columbia,68325,36679,29927,6741,9681,5197,4240,955
Florida,1970875,774485,709002,63802,9176,3606,3301,297
Georgia,1010900,231305,204301,22324,9521,2179,1924,210
Hawaii,154150,47985,0,0,10887,3389,0,0
Idaho,160075,42586,35179,7276,8957,2383,1969,407
Illinois,958125,403666,316876,82269,7561,3186,2501,649
Indiana,630025,233488,203889,29579,9358,3468,3029,439
Iowa,268025,112093,100805,9113,8495,3553,3195,289
Kansas,263175,91565,77590,13054,9034,3143,2663,448
Kentucky,332375,155613,145320,8994,7440,3483,3253,201
Louisiana,370175,175811,149064,26440,7963,3782,3207,569
Maine,136875,61129,51631,8274,10183,4548,3841,616
Maryland,564625,178056,165318,12698,9339,2945,2734,210
Massachusetts,669225,233476,204481,28822,9709,3387,2967,418
Michigan,773650,327235,286349,37918,7747,3277,2867,380
Minnesota,516800,179684,161507,18011,9164,3186,2864,319
Mississippi,219800,71848,64654,7178,7385,2414,2172,241
Missouri,528300,175314,145521,29546,8608,2856,2371,481
Montana,98500,46620,39103,7508,9216,4362,3659,702
Nebraska,199800,84920,72079,12442,10329,4390,3726,643
Nevada,210075,76844,62370,13900,6820,2495,2025,451
New Hampshire,127225,58711,53780,4915,9357,4318,3955,361
New Jersey,658800,263422,235152,26939,7417,2966,2647,303
New Mexico,204750,89415,73428,15578,9765,4264,3502,743
New York,1872625,688576,617596,58627,9626,3540,3175,301
North Carolina,969700,268212,233038,35028,9246,2557,2222,334
North Dakota,68675,42774,35293,7134,9012,5613,4631,936
Ohio,967450,348424,338961,9411,8277,2981,2900,81
Oklahoma,399900,187266,160035,26117,10106,4733,4044,660
Oregon,335075,129796,119980,9616,7944,3077,2845,228
Pennsylvania,1065300,410414,353821,56188,8321,3206,2764,439
Rhode Island,84125,44871,38000,6860,7941,4236,3587,648
South Carolina,346150,115855,96231,19004,6723,2250,1869,369
South Dakota,88375,54284,44721,9516,9990,6136,5055,1076
Tennessee,656550,264713,238943,25213,9614,3876,3499,369
Texas,2105600,1043624,917387,125126,7262,3599,3164,432
Utah,267975,115384,103833,8439,8359,3599,3239,263
Vermont,69800,29571,26603,2958,11186,4739,4263,474
Virginia,852725,217836,192918,23689,9990,2552,2260,278
Washington,655575,225238,187450,27591,8609,2958,2462,362
West Virginia,160975,118660,99061,19588,8982,6621,5528,1093
Wisconsin,437900,149955,135841,12820,7521,2575,2333,220
Wyoming,58775,19776,17310,2456,10155,3417,2991,424
Guam,34300,3791,3785,0,20692,2287,2283,0
American Samoa,10650,2971,2409,562,19124,5335,4326,1009
Republic of Palau,6000,766,765,1,33506,4278,4272,6
Federated States of Micronesia,9800,605,604,1,9456,584,583,1
Northern Mariana Islands,18650,4598,3455,1140,32787,8083,6074,2004
Puerto Rico,305475,94880,80310,14317,9565,2971,2515,448
Marshall Islands,13600,649,623,2,23282,1111,1067,3
Virgin Islands,10750,1424,1267,157,10269,1360,1210,150
Bureau of Prisons,16450,16118,13997,2086,0,0,0,0
Dept of Defense,464775,179724,159851,16098,0,0,0,0
Indian Health Svc,291800,81726,69313,12228,0,0,0,0
Veterans Health,941925,284697,252993,31397,0,0,0,0
