update_time,state,jurisdiction,Pfizer_1,Pfizer_2,Pfizer_2_affected,Pfizer_3,Moderna_1,Moderna_2,December_doses
2020-12-18 22:22:24,Alabama,State,40950.0,26000.0,,,80000.0,,146950.0
2020-12-18 22:22:24,Alaska,State,35100.0,,,,26800.0,,61900.0
2020-12-18 22:22:24,American Samoa,Territory,5850.0,3900.0,,,25100.0,,
2020-12-18 22:22:24,Arizona,State,58500.0,,,,,,383750.0
2020-12-18 22:22:24,Arkansas,State,25350.0,,,,50000.0,,100700.0
2020-12-18 22:22:24,Bureau of Federal Prisons,Federal Agency,,,,,,,
2020-12-18 22:22:24,California,State,327600.0,233000.0,Yes,,672000.0,,2160000.0
2020-12-18 22:22:24,Chicago,City,23400.0,,,,,,
2020-12-18 22:22:24,Colorado,State,46800.0,39780.0,Yes,,95600.0,,182180.0
2020-12-18 22:22:24,Connecticut,State,31200.0,86000.0,Yes,,20000.0,,168400.0
2020-12-18 22:22:24,Delaware,State,8775.0,,,,8350.0,,25900.0
2020-12-18 22:22:24,Department of Defense,Federal Agency,43875.0,,,,,,
2020-12-18 22:22:24,Department of State,Federal Agency,,,,,,,
2020-12-18 22:22:24,District of Columbia,City,6825.0,,,,,,13650.0
2020-12-18 22:22:24,Florida,State,179400.0,205000.0,Yes,,367000.0,,930800.0
2020-12-18 22:22:24,Georgia,State,84825.0,60000.0,Yes,,,,400000.0
2020-12-18 22:22:24,Guam,Territory,3900.0,3900.0,,3900.0,50000.0,,61700.0
2020-12-18 22:22:24,Hawaii,State,12675.0,,Yes,,36000.0,,80000.0
2020-12-18 22:22:24,Houston,City,,,,,,,
2020-12-18 22:22:24,Idaho,State,13650.0,9750.0,Yes,19500.0,28000.0,12400.0,96950.0
2020-12-18 22:22:24,Illinois,State,109000.0,,Yes,,,,109000.0
2020-12-18 22:22:24,Indian Health Services,Federal Agency,,,,,,,
2020-12-18 22:22:24,Indiana,State,55575.0,,Yes,,,,
2020-12-18 22:22:24,Iowa,State,26325.0,19500.0,Yes,38000.0,53800.0,24000.0,187950.0
2020-12-18 22:22:24,Kansas,State,24375.0,17550.0,Yes,,49000.0,,150000.0
2020-12-18 22:22:24,Kentucky,State,38025.0,27300.0,Yes,,76700.0,33800.0,114725.0
2020-12-18 22:22:24,Louisiana,State,39000.0,28275.0,Yes,,80000.0,27000.0,213275.0
2020-12-18 22:22:24,Maine,State,12675.0,8775.0,Yes,12675.0,14800.0,,48925.0
2020-12-18 22:22:24,Marshall Islands,Territory,,,,,,,
2020-12-18 22:22:24,Maryland,State,50700.0,,Yes,,104300.0,,155000.0
2020-12-18 22:22:24,Massachusetts,State,59475.0,42900.0,Yes,,120000.0,,300000.0
2020-12-18 22:22:24,Michigan,State,84825.0,60000.0,Yes,,173600.0,,650000.0
2020-12-18 22:22:24,Micronesia,Territory,,,,,,,
2020-12-18 22:22:24,Minnesota,State,46800.0,,,,100000.0,,183400.0
2020-12-18 22:22:24,Mississippi,State,25350.0,,,,50000.0,,
2020-12-18 22:22:24,Missouri,State,51675.0,63675.0,Yes,,105300.0,,156975.0
2020-12-18 22:22:24,Montana,State,9750.0,,Yes,,,,9750.0
2020-12-18 22:22:24,Nebraska,State,16575.0,19500.0,Yes,,32100.0,,100000.0
2020-12-18 22:22:24,Nevada,State,25350.0,17550.0,Yes,,72500.0,,164000.0
2020-12-18 22:22:24,New Hampshire,State,12675.0,9000.0,Yes,,20000.0,,32675.0
2020-12-18 22:22:24,New Jersey,State,76050.0,,Yes,,154000.0,,300000.0
2020-12-18 22:22:24,New Mexico,State,17550.0,,,,,,35100.0
2020-12-18 22:22:24,New York,State,170000.0,,,,346000.0,,516000.0
2020-12-18 22:22:24,New York City,City,73125.0,,,,,,
2020-12-18 22:22:24,North Carolina,State,85800.0,,,,175000.0,,260800.0
2020-12-18 22:22:24,North Dakota,State,6825.0,,,,13200.0,,20025.0
2020-12-18 22:22:24,Northern Mariana Islands,Territory,5850.0,,,,,,
2020-12-18 22:22:24,Ohio,State,98475.0,123000.0,,148000.0,201900.0,89000.0,660375.0
2020-12-18 22:22:24,Oklahoma,State,33150.0,24000.0,Yes,,66000.0,29000.0,152150.0
2020-12-18 22:22:24,Oregon,State,35100.0,25350.0,Yes,48750.0,71900.0,31700.0,212800.0
2020-12-18 22:22:24,Palau,Territory,,,,,,,
2020-12-18 22:22:24,Pennsylvania,State,110000.0,,,,,,
2020-12-18 22:22:24,Philadelphia,City,13650.0,,,,,,
2020-12-18 22:22:24,Puerto Rico,Territory,30225.0,,,,143000.0,,203450.0
2020-12-18 22:22:24,Rhode Island,State,9750.0,6825.0,Yes,,19000.0,,35575.0
2020-12-18 22:22:24,San Antonio,City,56000.0,,,,,,
2020-12-18 22:22:24,South Carolina,State,42900.0,,,,,,85800.0
2020-12-18 22:22:24,South Dakota,State,7800.0,,,,14600.0,,22400.0
2020-12-18 22:22:24,Tennessee,State,56550.0,,,,115000.0,,228100.0
2020-12-18 22:22:24,Texas,State,224250.0,159900.0,Yes,,460500.0,,1400000.0
2020-12-18 22:22:24,Utah,State,23400.0,,,,47600.0,27000.0,98000.0
2020-12-18 22:22:24,Vermont,State,5850.0,4875.0,Yes,,11400.0,5000.0,34000.0
2020-12-18 22:22:24,Veterans Affairs,Federal Agency,73000.0,,,,122000.0,,195000.0
2020-12-18 22:22:24,Virgin Islands,Territory,975.0,,,,,,
2020-12-18 22:22:24,Virginia,State,72150.0,370650.0,Yes,,,,480000.0
2020-12-18 22:22:24,Washington,State,62400.0,44850.0,Yes,85800.0,128000.0,55800.0,376850.0
2020-12-18 22:22:24,West Virginia,State,16575.0,,,,32600.0,,49175.0
2020-12-18 22:22:24,Wisconsin,State,49725.0,,,,100000.0,,149725.0
2020-12-18 22:22:24,Wyoming,State,4875.0,1950.0,Yes,,10000.0,3500.0,20325.0
